,,,"Parkdale--High Park [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Knowledge of languages","          Chinese languages; n.i.e.",,       0,,       0,,       0,,     185,,      95,,      90,
"Knowledge of languages","        Tibeto-Burman languages",,    2330,,    1140,,    1190,,   10460,,    5200,,    5260,
"Knowledge of languages","          Burmese",,      40,,      10,,      25,,    2215,,    1055,,    1165,
"Knowledge of languages","          Karenic languages",,       0,,       0,,       0,,    1820,,     905,,     920,
"Knowledge of languages","          Tibetan",,    2285,,    1125,,    1165,,    5695,,    2845,,    2850,
"Knowledge of languages","          Tibeto-Burman languages; n.i.e.",,      10,,      10,,       0,,    1245,,     645,,     605,
"Knowledge of languages","      Tai-Kadai languages",,      65,,      10,,      50,,   11120,,    4945,,    6180,
"Knowledge of languages","        Lao",,      20,,       0,,      10,,    6740,,    3215,,    3520,
"Knowledge of languages","        Thai",,      45,,       0,,      35,,    5195,,    2065,,    3135,
"Knowledge of languages","        Tai-Kadai languages; n.i.e.",,       0,,       0,,       0,,      30,,      10,,      20,
"Knowledge of languages","      Turkic languages",,     325,,     170,,     160,,   33335,,   17310,,   16025,
"Knowledge of languages","        Azerbaijani",,      20,,       0,,      15,,    3260,,    1710,,    1550,
"Knowledge of languages","        Turkish",,     290,,     150,,     135,,   27850,,   14510,,   13340,
"Knowledge of languages","        Uyghur",,       0,,       0,,       0,,     700,,     350,,     345,
"Knowledge of languages","        Uzbek",,      15,,      10,,      10,,    1405,,     700,,     705,
"Knowledge of languages","        Turkic languages; n.i.e.",,       0,,       0,,       0,,     915,,     450,,     465,
"Knowledge of languages","      Uralic languages",,    1220,,     545,,     680,,   58370,,   27060,,   31310,
"Knowledge of languages","        Estonian",,     120,,      45,,      70,,    4785,,    2155,,    2625,
"Knowledge of languages","        Finnish",,      90,,      40,,      55,,   11145,,    4865,,    6280,
"Knowledge of languages","        Hungarian",,    1005,,     460,,     550,,   42545,,   20070,,   22480,
"Knowledge of languages","        Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Other languages; n.i.e.",,      25,,      15,,      10,,    3675,,    1950,,    1725,
"Citizenship","Total - Citizenship for the population in private households - 25% sample data",45,  106445,,   51135,,   55310,,13242160,, 6472240,, 6769920,
"Citizenship","  Canadian citizens",46,   96455,,   46355,,   50095,,12223065,, 5987360,, 6235705,
"Citizenship","    Canadian citizens aged under 18",,   17455,,    8865,,    8595,, 2546075,, 1305820,, 1240255,
"Citizenship","    Canadian citizens aged 18 and over",,   79000,,   37495,,   41505,, 9676990,, 4681540,, 4995445,
"Citizenship","  Not Canadian citizens",47,    9990,,    4775,,    5215,, 1019095,,  484880,,  534215,
"Immigrant status and period of immigration","Total - Immigrant status and period of immigration for the population in private households - 25% sample data",48,  106445,,   51135,,   55305,,13242160,, 6472240,, 6769920,
"Immigrant status and period of immigration","  Non-immigrants",49,   69705,,   34320,,   35385,, 9188815,, 4555270,, 4633545,
"Immigrant status and period of immigration","  Immigrants",50,   34095,,   15490,,   18605,, 3852145,, 1814665,, 2037480,
"Immigrant status and period of immigration","    Before 1981",,   10605,,    4795,,    5810,, 1077745,,  507500,,  570240,
"Immigrant status and period of immigration","    1981 to 1990",,    5015,,    2375,,    2640,,  513995,,  246235,,  267755,
"Immigrant status and period of immigration","    1991 to 2000",,    6675,,    2895,,    3780,,  834510,,  390315,,  444195,
"Immigrant status and period of immigration","    2001 to 2010",,    7305,,    3240,,    4065,,  953730,,  446895,,  506835,
"Immigrant status and period of immigration","      2001 to 2005",,    3280,,    1440,,    1840,,  490560,,  230950,,  259610,
"Immigrant status and period of immigration","      2006 to 2010",,    4030,,    1805,,    2230,,  463170,,  215945,,  247225,
"Immigrant status and period of immigration","    2011 to 2016",51,    4495,,    2185,,    2310,,  472170,,  223715,,  248450,
"Immigrant status and period of immigration","  Non-permanent residents",52,    2640,,    1325,,    1320,,  201200,,  102305,,   98895,
"Age at immigration","Total - Age at immigration for the immigrant population in private households - 25% sample data",53,   34095,,   15490,,   18605,, 3852145,, 1814665,, 2037485,
"Age at immigration","  Under 5 years",,    3390,,    1615,,    1775,,  369955,,  184255,,  185705,
"Age at immigration","  5 to 14 years",,    5595,,    2775,,    2820,,  685085,,  345865,,  339225,
"Age at immigration","  15 to 24 years",,    6760,,    2890,,    3865,,  855475,,  381025,,  474450,
"Age at immigration","  25 to 44 years",,   15570,,    7120,,    8445,, 1579500,,  741340,,  838160,
"Age at immigration","  45 years and over",,    2790,,    1090,,    1705,,  362130,,  162180,,  199945,
"Immigrants by selected place of birth","Total - Selected places of birth for the immigrant population in private households - 25% sample data",54,   34095,,   15490,,   18605,, 3852145,, 1814665,, 2037480,
"Immigrants by selected place of birth","  Americas",,    5950,,    2670,,    3285,,  598950,,  265930,,  333025,
"Immigrants by selected place of birth","    Brazil",,     240,,     105,,     135,,   14705,,    6700,,    8010,
"Immigrants by selected place of birth","    Colombia",,     265,,     120,,     145,,   28815,,   13085,,   15730,
"Immigrants by selected place of birth","    El Salvador",,     105,,      65,,      45,,   20920,,   10165,,   10750,
"Immigrants by selected place of birth","    Guyana",,     555,,     235,,     320,,   79745,,   35325,,   44420,
"Immigrants by selected place of birth","    Haiti",,      20,,      10,,      15,,   10195,,    4410,,    5785,
"Immigrants by selected place of birth","    Jamaica",,     630,,     260,,     370,,  119840,,   51320,,   68525,
"Immigrants by selected place of birth","    Mexico",,     400,,     150,,     250,,   30075,,   13895,,   16185,
"Immigrants by selected place of birth","    Peru",,     205,,     105,,     100,,   10550,,    4660,,    5895,
"Immigrants by selected place of birth","    Trinidad and Tobago",,     515,,     230,,     285,,   52810,,   23515,,   29300,
"Immigrants by selected place of birth","    United States",55,    1500,,     650,,     855,,  109005,,   47170,,   61830,
"Immigrants by selected place of birth","    Other places of birth in Americas",,    1515,,     745,,     765,,  122280,,   55685,,   66600,
"Immigrants by selected place of birth","  Europe",,   15240,,    6915,,    8325,, 1144295,,  546250,,  598050,
"Immigrants by selected place of birth","    Bosnia and Herzegovina",,     295,,     135,,     160,,   21300,,   10655,,   10645,
"Immigrants by selected place of birth","    Croatia",,     365,,     170,,     195,,   27330,,   13495,,   13835,
"Immigrants by selected place of birth","    France",,     270,,     120,,     145,,   13385,,    6310,,    7070,
"Immigrants by selected place of birth","    Germany",,     745,,     325,,     415,,   63460,,   29685,,   33775,
"Immigrants by selected place of birth","    Greece",,     385,,     180,,     205,,   36575,,   18225,,   18350,
"Immigrants by selected place of birth","    Hungary",,     510,,     250,,     260,,   22085,,   10495,,   11590,
"Immigrants by selected place of birth","    Ireland",56,     355,,     195,,     155,,   15275,,    7415,,    7860,
"Immigrants by selected place of birth","    Italy",,     445,,     240,,     210,,  157815,,   78510,,   79305,
"Immigrants by selected place of birth","    Netherlands",,     140,,      70,,      70,,   47400,,   23910,,   23490,
"Immigrants by selected place of birth","    Poland",,    2885,,    1220,,    1665,,   96000,,   43155,,   52845,
"Immigrants by selected place of birth","    Portugal",,    1090,,     510,,     585,,  103025,,   50240,,   52785,
"Immigrants by selected place of birth","    Romania",,     405,,     195,,     210,,   42720,,   19720,,   23000,
"Immigrants by selected place of birth","    Russian Federation",,     805,,     315,,     490,,   42980,,   18540,,   24440,
"Immigrants by selected place of birth","    Serbia",57,     795,,     370,,     425,,   23695,,   11610,,   12085,
"Immigrants by selected place of birth","    Ukraine",,    1100,,     505,,     595,,   39945,,   18150,,   21795,
"Immigrants by selected place of birth","    United Kingdom",58,    2230,,    1060,,    1170,,  264125,,  125730,,  138390,
"Immigrants by selected place of birth","    Other places of birth in Europe",,    2430,,    1050,,    1380,,  127190,,   60395,,   66790,
"Immigrants by selected place of birth","  Africa",,    1910,,     935,,     975,,  226770,,  109585,,  117185,
"Immigrants by selected place of birth","    Algeria",,      30,,      20,,      10,,    2925,,    1480,,    1450,
"Immigrants by selected place of birth","    Egypt",,     140,,      65,,      75,,   34510,,   18000,,   16510,
"Immigrants by selected place of birth","    Ethiopia",,     475,,     205,,     270,,   15570,,    7230,,    8340,
"Immigrants by selected place of birth","    Kenya",,      90,,      35,,      60,,   14940,,    6910,,    8025,
"Immigrants by selected place of birth","    Morocco",,      25,,      10,,      15,,    5485,,    2690,,    2795,
"Immigrants by selected place of birth","    Nigeria",,     105,,      65,,      45,,   20630,,   10285,,   10345,
"Immigrants by selected place of birth","    Somalia",,      95,,      50,,      50,,   16970,,    6845,,   10125,
"Immigrants by selected place of birth","    South Africa; Republic of",,     200,,     110,,      90,,   19390,,    9545,,    9840,
"Immigrants by selected place of birth","    Other places of birth in Africa",,     750,,     380,,     370,,   96355,,   46610,,   49745,
"Immigrants by selected place of birth","  Asia",,   10695,,    4820,,    5875,, 1869805,,  886570,,  983240,
"Immigrants by selected place of birth","    Afghanistan",,      85,,      40,,      45,,   33145,,   16490,,   16655,
"Immigrants by selected place of birth","    Bangladesh",,     145,,      90,,      50,,   39410,,   19970,,   19440,
"Immigrants by selected place of birth","    China",59,    1520,,     645,,     875,,  317225,,  143705,,  173515,
"Immigrants by selected place of birth","    Hong Kong",60,     305,,     170,,     135,,  108030,,   50945,,   57090,
"Immigrants by selected place of birth","    India",,    1995,,     975,,    1025,,  360540,,  179950,,  180590,
"Immigrants by selected place of birth","    Iran",61,     470,,     205,,     265,,   86810,,   43445,,   43360,
"Immigrants by selected place of birth","    Iraq",,     125,,      65,,      65,,   50390,,   25280,,   25115,
"Immigrants by selected place of birth","    Japan",,     190,,      70,,     125,,    8145,,    2550,,    5585,
"Immigrants by selected place of birth","    Korea; South",62,     480,,     170,,     310,,   57085,,   26660,,   30425,
"Immigrants by selected place of birth","    Lebanon",,      80,,      50,,      30,,   34545,,   18145,,   16405,
"Immigrants by selected place of birth","    Pakistan",,     255,,     125,,     130,,  142265,,   71925,,   70345,
"Immigrants by selected place of birth","    Philippines",,    1975,,     760,,    1215,,  231760,,   93730,,  138030,
"Immigrants by selected place of birth","    Sri Lanka",,     345,,     145,,     205,,  109855,,   53640,,   56215,
"Immigrants by selected place of birth","    Syria",63,      65,,      25,,      35,,   22680,,   11405,,   11270,
"Immigrants by selected place of birth","    Taiwan",,      95,,      35,,      60,,   17840,,    7775,,   10065,
"Immigrants by selected place of birth","    Viet Nam",,    1020,,     460,,     560,,   80525,,   36545,,   43985,
"Immigrants by selected place of birth","    Other places of birth in Asia",,    1535,,     790,,     745,,  169555,,   84400,,   85160,
"Immigrants by selected place of birth","  Oceania and other places of birth",64,     300,,     155,,     145,,   12330,,    6330,,    5990,
"Recent immigrants by selected places of birth","Total - Selected places of birth for the recent immigrant population in private households - 25% sample data",54,    4495,,    2185,,    2305,,  472170,,  223720,,  248450,
"Recent immigrants by selected places of birth","  Americas",,     705,,     325,,     380,,   60700,,   29005,,   31700,
"Recent immigrants by selected places of birth","    Brazil",,      55,,      20,,      35,,    3180,,    1505,,    1675,
"Recent immigrants by selected places of birth","    Colombia",,      30,,      10,,      20,,    4520,,    2005,,    2520,
"Recent immigrants by selected places of birth","    Cuba",,      50,,      30,,      25,,    1950,,     910,,    1045,
"Recent immigrants by selected places of birth","    Haiti",,      10,,       0,,       0,,    2575,,    1140,,    1435,
"Recent immigrants by selected places of birth","    Jamaica",,      40,,      20,,      20,,    8935,,    4840,,    4090,
"Recent immigrants by selected places of birth","    Mexico",,     125,,      55,,      70,,    5670,,    2745,,    2925,
"Recent immigrants by selected places of birth","    United States",55,     195,,      95,,      95,,   14635,,    7225,,    7405,
"Recent immigrants by selected places of birth","    Venezuela",65,      25,,       0,,      20,,    2460,,    1120,,    1340,
"Recent immigrants by selected places of birth","    Other places of birth in Americas",,     170,,      90,,      80,,   16775,,    7510,,    9265,
"Recent immigrants by selected places of birth","  Europe",,    1130,,     615,,     520,,   45295,,   22250,,   23045,
"Recent immigrants by selected places of birth","    France",,      55,,      35,,      20,,    2010,,    1025,,     985,
"Recent immigrants by selected places of birth","    Germany",,      55,,      35,,      25,,    1695,,     885,,     805,
"Recent immigrants by selected places of birth","    Ireland",56,     135,,     100,,      35,,    1900,,    1185,,     715,
"Recent immigrants by selected places of birth","    Moldova",66,      10,,       0,,       0,,     880,,     400,,     480,
"Recent immigrants by selected places of birth","    Romania",,      30,,      20,,      10,,    2425,,     995,,    1430,
"Recent immigrants by selected places of birth","    Russian Federation",,     145,,      50,,      95,,    4905,,    1790,,    3115,
"Recent immigrants by selected places of birth","    Ukraine",,      65,,      25,,      40,,    4455,,    2005,,    2445,
"Recent immigrants by selected places of birth","    United Kingdom",58,     170,,     100,,      70,,    7780,,    4515,,    3265,
"Recent immigrants by selected places of birth","    Other places of birth in Europe",,     470,,     250,,     220,,   19245,,    9450,,    9795,
"Recent immigrants by selected places of birth","  Africa",,     400,,     170,,     230,,   39380,,   19045,,   20330,
"Recent immigrants by selected places of birth","    Algeria",,       0,,       0,,       0,,     415,,     180,,     240,
"Recent immigrants by selected places of birth","    Cameroon",,       0,,       0,,       0,,    1390,,     640,,     750,
"Recent immigrants by selected places of birth","    Congo; Democratic Republic of the",,       0,,       0,,       0,,    1835,,     845,,     990,
"Recent immigrants by selected places of birth","    C�te d'Ivoire",,       0,,       0,,       0,,     605,,     245,,     360,
"Recent immigrants by selected places of birth","    Egypt",,      20,,       0,,      20,,    8220,,    4290,,    3935,
"Recent immigrants by selected places of birth","    Eritrea",,      60,,      20,,      35,,    2055,,    1010,,    1045,
"Recent immigrants by selected places of birth","    Ethiopia",,     125,,      50,,      80,,    2505,,    1115,,    1385,
"Recent immigrants by selected places of birth","    Morocco",,       0,,       0,,       0,,     655,,     275,,     375,
"Recent immigrants by selected places of birth","    Nigeria",,      35,,      20,,      15,,    5910,,    2895,,    3015,
"Recent immigrants by selected places of birth","    Somalia",,       0,,       0,,       0,,    2065,,     965,,    1100,
"Recent immigrants by selected places of birth","    South Africa; Republic of",,      45,,      20,,      20,,    1410,,     715,,     695,
"Recent immigrants by selected places of birth","    Tunisia",,       0,,       0,,       0,,     310,,     155,,     150,
"Recent immigrants by selected places of birth","    Other places of birth in Africa",,     115,,      60,,      50,,   12010,,    5715,,    6295,
"Recent immigrants by selected places of birth","  Asia",,    2165,,    1010,,    1155,,  324820,,  152205,,  172615,
"Recent immigrants by selected places of birth","    Afghanistan",,      15,,       0,,      10,,    5785,,    2845,,    2945,
"Recent immigrants by selected places of birth","    Bangladesh",,      10,,       0,,       0,,    8180,,    4055,,    4125,
"Recent immigrants by selected places of birth","    China",59,     250,,     125,,     125,,   58840,,   26025,,   32815,
"Recent immigrants by selected places of birth","    Hong Kong",60,       0,,      10,,       0,,    1985,,     800,,    1190,
"Recent immigrants by selected places of birth","    India",,     690,,     320,,     365,,   69325,,   35060,,   34265,
"Recent immigrants by selected places of birth","    Iran",61,     105,,      45,,      60,,   21225,,   10300,,   10930,
"Recent immigrants by selected places of birth","    Iraq",,      35,,      20,,      20,,   14645,,    7315,,    7330,
"Recent immigrants by selected places of birth","    Israel",,      10,,      15,,       0,,    2050,,    1085,,     970,
"Recent immigrants by selected places of birth","    Japan",,      55,,      10,,      45,,    1385,,     370,,    1015,
"Recent immigrants by selected places of birth","    Korea; South",62,      45,,      15,,      30,,    6320,,    2855,,    3470,
"Recent immigrants by selected places of birth","    Lebanon",,      10,,       0,,      10,,    3230,,    1685,,    1545,
"Recent immigrants by selected places of birth","    Nepal",,     235,,     130,,     105,,    3395,,    1725,,    1665,
"Recent immigrants by selected places of birth","    Pakistan",,      60,,      30,,      35,,   25435,,   12425,,   13015,
"Recent immigrants by selected places of birth","    Philippines",,     375,,     160,,     215,,   53190,,   21740,,   31450,
"Recent immigrants by selected places of birth","    Saudi Arabia",,      40,,      35,,      10,,    3140,,    1615,,    1530,
"Recent immigrants by selected places of birth","    Sri Lanka",,       0,,       0,,       0,,    8185,,    3580,,    4605,
"Recent immigrants by selected places of birth","    Syria",63,      35,,      15,,      15,,   12710,,    6590,,    6120,
"Recent immigrants by selected places of birth","    Taiwan",,      10,,       0,,      10,,    1015,,     435,,     580,
"Recent immigrants by selected places of birth","    Turkey",,      30,,      25,,      10,,    2590,,    1440,,    1145,
"Recent immigrants by selected places of birth","    United Arab Emirates",,      20,,      10,,      10,,    4290,,    2230,,    2055,
"Recent immigrants by selected places of birth","    Viet Nam",,      65,,      15,,      55,,    3885,,    1520,,    2365,
"Recent immigrants by selected places of birth","    Other places of birth in Asia",,      70,,      30,,      40,,   13995,,    6505,,    7485,
"Recent immigrants by selected places of birth","  Oceania and other",64,      95,,      65,,      30,,    1980,,    1215,,     765,
"Recent immigrants by selected places of birth","    Australia",,      85,,      55,,      30,,    1535,,     965,,     565,
"Recent immigrants by selected places of birth","    Other places of birth",67,      10,,       0,,      10,,     445,,     250,,     200,
"Generation status","Total - Generation status for the population in private households - 25% sample data",68,  106440,,   51135,,   55310,,13242160,, 6472240,, 6769920,
"Generation status","  First generation",69,   37785,,   17315,,   20475,, 4122840,, 1953095,, 2169740,
"Generation status","  Second generation",70,   31070,,   15390,,   15680,, 3049835,, 1525300,, 1524540,
"Generation status","  Third generation or more",71,   37580,,   18430,,   19150,, 6069485,, 2993845,, 3075640,
"Admission category and applicant type","Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data",72,   24070,,   11005,,   13060,, 2825480,, 1331730,, 1493750,
"Admission category and applicant type","  Economic immigrants",73,   10020,,    4740,,    5285,, 1364380,,  677695,,  686685,
"Admission category and applicant type","    Principal applicants",74,    4715,,    2575,,    2140,,  540795,,  338460,,  202335,
"Admission category and applicant type","    Secondary applicants",75,    5305,,    2165,,    3140,,  823580,,  339240,,  484350,
"Admission category and applicant type","  Immigrants sponsored by family",76,    7560,,    3005,,    4555,,  940405,,  382890,,  557520,
"Admission category and applicant type","  Refugees",77,    6160,,    3135,,    3020,,  482665,,  253750,,  228910,
"Admission category and applicant type","  Other immigrants",78,     330,,     125,,     200,,   38035,,   17400,,   20640,
"Aboriginal population","Total - Aboriginal identity for the population in private households - 25% sample data",79,  106440,,   51135,,   55310,,13242160,, 6472240,, 6769920,
"Aboriginal population","  Aboriginal identity",80,    1505,,     695,,     815,,  374395,,  179970,,  194420,
"Aboriginal population","    Single Aboriginal responses",81,    1470,,     680,,     795,,  361125,,  173685,,  187445,
"Aboriginal population","      First Nations (North American Indian)",82,     890,,     420,,     470,,  236680,,  112840,,  123845,
"Aboriginal population","      M�tis",,     550,,     230,,     320,,  120585,,   59015,,   61570,
"Aboriginal population","      Inuk (Inuit)",,      30,,      25,,      10,,    3860,,    1835,,    2030,
"Aboriginal population","    Multiple Aboriginal responses",83,      15,,      10,,      10,,    5730,,    2680,,    3045,
"Aboriginal population","    Aboriginal responses not included elsewhere",84,      20,,      10,,      15,,    7540,,    3615,,    3930,
"Aboriginal population","  Non-Aboriginal identity",,  104935,,   50440,,   54495,,12867765,, 6292265,, 6575500,
"Aboriginal population","Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data",85,  106445,,   51135,,   55310,,13242160,, 6472240,, 6769925,
"Aboriginal population","  Registered or Treaty Indian",86,     550,,     265,,     285,,  170895,,   81560,,   89335,
"Aboriginal population","  Not a Registered or Treaty Indian",,  105895,,   50870,,   55025,,13071265,, 6390680,, 6680585,
"Aboriginal population","Total - Aboriginal ancestry for the population in private households - 25% sample data",87,  106445,,   51135,,   55310,,13242160,, 6472240,, 6769920,
"Aboriginal population","  Aboriginal ancestry (only)",88,     245,,     105,,     140,,  112875,,   54840,,   58035,
"Aboriginal population","    Single Aboriginal ancestry (only)",89,     240,,     100,,     145,,  111575,,   54180,,   57395,
"Aboriginal population","      First Nations (North American Indian) single ancestry",82,     200,,      75,,     120,,   97430,,   47130,,   50305,
"Aboriginal population","      M�tis single ancestry",,      30,,      15,,      20,,   12925,,    6490,,    6435,
"Aboriginal population","      Inuit single ancestry",,      15,,      10,,      10,,    1220,,     565,,     655,
"Aboriginal population","    Multiple Aboriginal ancestries (only)",90,       0,,       0,,       0,,    1295,,     665,,     640,
"Aboriginal population","      First Nations (North American Indian) and M�tis ancestries",,       0,,      10,,       0,,    1055,,     545,,     510,
"Aboriginal population","      First Nations (North American Indian) and Inuit ancestries",,       0,,       0,,       0,,     145,,      70,,      75,
"Aboriginal population","      M�tis and Inuit ancestries",,       0,,       0,,       0,,      65,,      25,,      40,
"Aboriginal population","      First Nations (North American Indian); M�tis and Inuit ancestries",,       0,,       0,,       0,,      30,,      20,,      10,
"Aboriginal population","  Aboriginal and non-Aboriginal ancestries",91,    2335,,    1095,,    1240,,  405425,,  192320,,  213100,
"Aboriginal population","    Single Aboriginal and non-Aboriginal ancestries",92,    2230,,    1060,,    1170,,  395205,,  187695,,  207510,
"Aboriginal population","      First Nations (North American Indian) and non-Aboriginal ancestries",,    1685,,     840,,     850,,  276920,,  130810,,  146110,
"Aboriginal population","      M�tis and non-Aboriginal ancestries",,     505,,     195,,     310,,  113785,,   54830,,   58955,
"Aboriginal population","      Inuit and non-Aboriginal ancestries",,      40,,      25,,      10,,    4500,,    2050,,    2450,
"Aboriginal population","    Multiple Aboriginal and non-Aboriginal ancestries",93,     100,,      40,,      65,,   10215,,    4620,,    5590,
"Aboriginal population","      First Nations (North American Indian); M�tis and non-Aboriginal ancestries",,     100,,      35,,      65,,    9305,,    4205,,    5100,
"Aboriginal population","      First Nations (North American Indian); Inuit and non-Aboriginal ancestries",,       0,,      10,,       0,,     595,,     290,,     305,
"Aboriginal population","      M�tis; Inuit and non-Aboriginal ancestries",,       0,,       0,,       0,,     300,,     125,,     170,
"Aboriginal population","      First Nations (North American Indian); M�tis; Inuit and non-Aboriginal ancestries",,       0,,       0,,       0,,      15,,       0,,      10,
"Aboriginal population","  Non-Aboriginal ancestry (only)",94,  103865,,   49935,,   53930,,12723865,, 6225080,, 6498785,
"Visible minority population","Total - Visible minority for the population in private households - 25% sample data",95,  106445,,   51135,,   55305,,13242160,, 6472240,, 6769920,
"Visible minority population","  Total visible minority population",96,   27865,,   13015,,   14855,, 3885585,, 1878075,, 2007505,
"Visible minority population","    South Asian",97,    5010,,    2500,,    2510,, 1150415,,  582010,,  568400,
"Visible minority population","    Chinese",,    3710,,    1650,,    2055,,  754550,,  359230,,  395315,
"Visible minority population","    Black",,    5625,,    2760,,    2870,,  627715,,  296270,,  331445,
"Visible minority population","    Filipino",,    2800,,    1115,,    1685,,  311675,,  132440,,  179230,
"Visible minority population","    Latin American",,    2325,,    1145,,    1175,,  195950,,   93645,,  102310,
"Visible minority population","    Arab",,     700,,     400,,     295,,  210435,,  109585,,  100850,
"Visible minority population","    Southeast Asian",98,    1595,,     670,,     930,,  133855,,   63255,,   70605,
"Visible minority population","    West Asian",99,     585,,     270,,     315,,  154670,,   77385,,   77280,
"Visible minority population","    Korean",,    1020,,     410,,     610,,   88935,,   42445,,   46495,
"Visible minority population","    Japanese",,     730,,     270,,     465,,   30830,,   13595,,   17235,
"Visible minority population","    Visible minority; n.i.e.",100,    2255,,    1060,,    1190,,   97970,,   46105,,   51860,
"Visible minority population","    Multiple visible minorities",101,    1510,,     760,,     755,,  128585,,   62105,,   66485,
"Visible minority population","  Not a visible minority",102,   78575,,   38125,,   40460,, 9356575,, 4594165,, 4762410,
"Ethnic origin population","Total - Ethnic origin for the population in private households - 25% sample data",103,  106445,,   51135,,   55305,,13242160,, 6472240,, 6769920,
"Ethnic origin population","  North American Aboriginal origins",,    2580,,    1200,,    1380,,  518300,,  247160,,  271135,
"Ethnic origin population","    First Nations (North American Indian)",,    1995,,     960,,    1030,,  385505,,  183075,,  202430,
"Ethnic origin population","    Inuit",,      55,,      40,,      15,,    6870,,    3150,,    3720,
"Ethnic origin population","    M�tis",,     635,,     240,,     395,,  137485,,   66245,,   71235,
"Ethnic origin population","  Other North American origins",,   18805,,    9135,,    9670,, 3220595,, 1585255,, 1635340,
"Ethnic origin population","    Acadian",,     220,,     105,,     115,,   16580,,    8135,,    8450,
"Ethnic origin population","    American",,    2035,,     895,,    1140,,  140165,,   67480,,   72690,
"Ethnic origin population","    Canadian",,   17140,,    8375,,    8775,, 3109770,, 1531645,, 1578125,
"Ethnic origin population","    New Brunswicker",,       0,,       0,,       0,,     320,,     190,,     125,
"Ethnic origin population","    Newfoundlander",,      85,,      40,,      50,,   10850,,    5520,,    5325,
"Ethnic origin population","    Nova Scotian",,       0,,       0,,       0,,    1485,,     685,,     800,
"Ethnic origin population","    Ontarian",,      40,,      25,,      20,,    2165,,    1085,,    1075,
"Ethnic origin population","    Qu�b�cois",,      45,,      25,,      15,,    5390,,    2730,,    2665,
"Ethnic origin population","    Other North American origins; n.i.e.",104,      15,,      10,,      10,,     675,,     375,,     300,
"Ethnic origin population","  European origins",,   78390,,   37755,,   40635,, 8151470,, 3978900,, 4172570,
"Ethnic origin population","    British Isles origins",,   43505,,   21355,,   22145,, 4900430,, 2380595,, 2519835,
"Ethnic origin population","      Channel Islander",,      20,,      10,,      10,,    1120,,     530,,     590,
"Ethnic origin population","      Cornish",,      10,,       0,,      10,,     755,,     370,,     385,
"Ethnic origin population","      English",,   23760,,   11870,,   11895,, 2808805,, 1357650,, 1451160,
"Ethnic origin population","      Irish",,   21305,,   10145,,   11160,, 2095460,,  991625,, 1103835,
"Ethnic origin population","      Manx",,      35,,      20,,      15,,    2450,,    1320,,    1130,
"Ethnic origin population","      Scottish",,   19915,,    9655,,   10255,, 2107295,, 1016260,, 1091030,
"Ethnic origin population","      Welsh",,    2405,,    1140,,    1265,,  198475,,   94555,,  103920,
"Ethnic origin population","      British Isles origins; n.i.e.",105,    4170,,    1905,,    2270,,  323185,,  152525,,  170660,
"Ethnic origin population","    French origins",,    9475,,    4200,,    5280,, 1350520,,  643360,,  707160,
"Ethnic origin population","      Alsatian",,      30,,      10,,      20,,    1235,,     495,,     740,
"Ethnic origin population","      Breton",,      10,,       0,,       0,,     290,,     175,,     120,
"Ethnic origin population","      Corsican",,       0,,       0,,       0,,     205,,     125,,      85,
"Ethnic origin population","      French",,    9450,,    4185,,    5265,, 1349255,,  642790,,  706470,
"Ethnic origin population","    Western European origins (except French origins)",,   14860,,    7210,,    7650,, 1766975,,  864010,,  902970,
"Ethnic origin population","      Austrian",,    1175,,     550,,     620,,   72475,,   35415,,   37065,
"Ethnic origin population","      Bavarian",,       0,,       0,,       0,,     450,,     225,,     230,
"Ethnic origin population","      Belgian",,     360,,     170,,     190,,   57890,,   28460,,   29430,
"Ethnic origin population","      Dutch",,    3195,,    1410,,    1785,,  527750,,  259585,,  268165,
"Ethnic origin population","      Flemish",,      50,,      25,,      30,,    4005,,    2005,,    1995,
"Ethnic origin population","      Frisian",,      30,,      25,,       0,,    2705,,    1400,,    1305,
"Ethnic origin population","      German",,   10470,,    5190,,    5280,, 1189670,,  579315,,  610355,
"Ethnic origin population","      Luxembourger",,      15,,      10,,       0,,     915,,     500,,     415,
"Ethnic origin population","      Swiss",,     885,,     475,,     410,,   59835,,   29395,,   30440,
"Ethnic origin population","      Western European origins; n.i.e.",106,      60,,      15,,      45,,    1095,,     560,,     530,
"Ethnic origin population","    Northern European origins (except British Isles origins)",,    2995,,    1360,,    1635,,  266085,,  127885,,  138195,
"Ethnic origin population","      Danish",,     555,,     240,,     320,,   53555,,   26355,,   27195,
"Ethnic origin population","      Finnish",,     620,,     300,,     320,,   76755,,   36955,,   39800,
"Ethnic origin population","      Icelandic",,     190,,     100,,      90,,   13215,,    6325,,    6895,
"Ethnic origin population","      Norwegian",,     855,,     380,,     470,,   59335,,   28350,,   30980,
"Ethnic origin population","      Swedish",,     900,,     380,,     525,,   71035,,   32705,,   38325,
