,,,"Canada [Country]",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Knowledge of languages","          Chinese languages; n.i.e.",,     590,,     250,,     340,,     185,,      95,,      90,
"Knowledge of languages","        Tibeto-Burman languages",,   18270,,    9100,,    9175,,   10460,,    5200,,    5260,
"Knowledge of languages","          Burmese",,    4995,,    2490,,    2500,,    2215,,    1055,,    1165,
"Knowledge of languages","          Karenic languages",,    4895,,    2425,,    2475,,    1820,,     905,,     920,
"Knowledge of languages","          Tibetan",,    7050,,    3555,,    3490,,    5695,,    2845,,    2850,
"Knowledge of languages","          Tibeto-Burman languages; n.i.e.",,    2375,,    1160,,    1220,,    1245,,     645,,     605,
"Knowledge of languages","      Tai-Kadai languages",,   30400,,   13210,,   17195,,   11120,,    4945,,    6180,
"Knowledge of languages","        Lao",,   17235,,    8240,,    8990,,    6740,,    3215,,    3520,
"Knowledge of languages","        Thai",,   15390,,    5875,,    9520,,    5195,,    2065,,    3135,
"Knowledge of languages","        Tai-Kadai languages; n.i.e.",,     115,,      50,,      65,,      30,,      10,,      20,
"Knowledge of languages","      Turkic languages",,   60530,,   31585,,   28945,,   33335,,   17310,,   16025,
"Knowledge of languages","        Azerbaijani",,    5450,,    2885,,    2565,,    3260,,    1710,,    1550,
"Knowledge of languages","        Turkish",,   50775,,   26605,,   24165,,   27850,,   14510,,   13340,
"Knowledge of languages","        Uyghur",,    1385,,     685,,     700,,     700,,     350,,     345,
"Knowledge of languages","        Uzbek",,    2465,,    1230,,    1235,,    1405,,     700,,     705,
"Knowledge of languages","        Turkic languages; n.i.e.",,    1870,,     905,,     965,,     915,,     450,,     465,
"Knowledge of languages","      Uralic languages",,   94810,,   44270,,   50545,,   58370,,   27060,,   31310,
"Knowledge of languages","        Estonian",,    6070,,    2750,,    3315,,    4785,,    2155,,    2625,
"Knowledge of languages","        Finnish",,   17595,,    7540,,   10050,,   11145,,    4865,,    6280,
"Knowledge of languages","        Hungarian",,   71285,,   34005,,   37280,,   42545,,   20070,,   22480,
"Knowledge of languages","        Uralic languages; n.i.e.",,      25,,      10,,      10,,       0,,       0,,       0,
"Knowledge of languages","      Other languages; n.i.e.",,    9730,,    5375,,    4355,,    3675,,    1950,,    1725,
"Citizenship","Total - Citizenship for the population in private households - 25% sample data",45,34460065,,16971580,,17488490,,13242160,, 6472240,, 6769920,
"Citizenship","  Canadian citizens",46,32034590,,15799495,,16235090,,12223065,, 5987360,, 6235705,
"Citizenship","    Canadian citizens aged under 18",, 6652795,, 3412785,, 3240010,, 2546075,, 1305820,, 1240255,
"Citizenship","    Canadian citizens aged 18 and over",,25381795,,12386710,,12995080,, 9676990,, 4681540,, 4995445,
"Citizenship","  Not Canadian citizens",47, 2425480,, 1172085,, 1253400,, 1019095,,  484880,,  534215,
"Immigrant status and period of immigration","Total - Immigrant status and period of immigration for the population in private households - 25% sample data",48,34460065,,16971575,,17488485,,13242160,, 6472240,, 6769920,
"Immigrant status and period of immigration","  Non-immigrants",49,26412610,,13124325,,13288290,, 9188815,, 4555270,, 4633545,
"Immigrant status and period of immigration","  Immigrants",50, 7540830,, 3586495,, 3954330,, 3852145,, 1814665,, 2037480,
"Immigrant status and period of immigration","    Before 1981",, 1941510,,  927795,, 1013715,, 1077745,,  507500,,  570240,
"Immigrant status and period of immigration","    1981 to 1990",,  915555,,  439245,,  476310,,  513995,,  246235,,  267755,
"Immigrant status and period of immigration","    1991 to 2000",, 1486655,,  696720,,  789940,,  834510,,  390315,,  444195,
"Immigrant status and period of immigration","    2001 to 2010",, 1985035,,  940570,, 1044465,,  953730,,  446895,,  506835,
"Immigrant status and period of immigration","      2001 to 2005",,  928935,,  439890,,  489050,,  490560,,  230950,,  259610,
"Immigrant status and period of immigration","      2006 to 2010",, 1056095,,  500680,,  555415,,  463170,,  215945,,  247225,
"Immigrant status and period of immigration","    2011 to 2016",51, 1212075,,  582175,,  629895,,  472170,,  223715,,  248450,
"Immigrant status and period of immigration","  Non-permanent residents",52,  506625,,  260755,,  245870,,  201200,,  102305,,   98895,
"Age at immigration","Total - Age at immigration for the immigrant population in private households - 25% sample data",53, 7540830,, 3586500,, 3954335,, 3852145,, 1814665,, 2037485,
"Age at immigration","  Under 5 years",,  731340,,  364165,,  367175,,  369955,,  184255,,  185705,
"Age at immigration","  5 to 14 years",, 1311810,,  665870,,  645945,,  685085,,  345865,,  339225,
"Age at immigration","  15 to 24 years",, 1604430,,  724430,,  880005,,  855475,,  381025,,  474450,
"Age at immigration","  25 to 44 years",, 3198920,, 1513970,, 1684950,, 1579500,,  741340,,  838160,
"Age at immigration","  45 years and over",,  694320,,  318060,,  376260,,  362130,,  162180,,  199945,
"Immigrants by selected place of birth","Total - Selected places of birth for the immigrant population in private households - 25% sample data",54, 7540830,, 3586495,, 3954330,, 3852145,, 1814665,, 2037480,
"Immigrants by selected place of birth","  Americas",, 1128745,,  510650,,  618100,,  598950,,  265930,,  333025,
"Immigrants by selected place of birth","    Brazil",,   29320,,   13235,,   16080,,   14705,,    6700,,    8010,
"Immigrants by selected place of birth","    Colombia",,   70035,,   32065,,   37965,,   28815,,   13085,,   15730,
"Immigrants by selected place of birth","    El Salvador",,   48080,,   23865,,   24215,,   20920,,   10165,,   10750,
"Immigrants by selected place of birth","    Guyana",,   87685,,   38940,,   48745,,   79745,,   35325,,   44420,
"Immigrants by selected place of birth","    Haiti",,   93480,,   40955,,   52525,,   10195,,    4410,,    5785,
"Immigrants by selected place of birth","    Jamaica",,  138345,,   59960,,   78390,,  119840,,   51320,,   68525,
"Immigrants by selected place of birth","    Mexico",,   80585,,   37530,,   43055,,   30075,,   13895,,   16185,
"Immigrants by selected place of birth","    Peru",,   29615,,   12950,,   16665,,   10550,,    4660,,    5895,
"Immigrants by selected place of birth","    Trinidad and Tobago",,   65040,,   29325,,   35710,,   52810,,   23515,,   29300,
"Immigrants by selected place of birth","    United States",55,  253715,,  113505,,  140215,,  109005,,   47170,,   61830,
"Immigrants by selected place of birth","    Other places of birth in Americas",,  232850,,  108325,,  124530,,  122280,,   55685,,   66600,
"Immigrants by selected place of birth","  Europe",, 2088410,, 1015145,, 1073260,, 1144295,,  546250,,  598050,
"Immigrants by selected place of birth","    Bosnia and Herzegovina",,   36135,,   18050,,   18085,,   21300,,   10655,,   10645,
"Immigrants by selected place of birth","    Croatia",,   40045,,   20005,,   20035,,   27330,,   13495,,   13835,
"Immigrants by selected place of birth","    France",,  105565,,   55395,,   50170,,   13385,,    6310,,    7070,
"Immigrants by selected place of birth","    Germany",,  145845,,   69525,,   76320,,   63460,,   29685,,   33775,
"Immigrants by selected place of birth","    Greece",,   62715,,   31580,,   31135,,   36575,,   18225,,   18350,
"Immigrants by selected place of birth","    Hungary",,   36820,,   17945,,   18875,,   22085,,   10495,,   11590,
"Immigrants by selected place of birth","    Ireland",56,   28325,,   14355,,   13970,,   15275,,    7415,,    7860,
"Immigrants by selected place of birth","    Italy",,  236640,,  118595,,  118040,,  157815,,   78510,,   79305,
"Immigrants by selected place of birth","    Netherlands",,   88475,,   45185,,   43295,,   47400,,   23910,,   23490,
"Immigrants by selected place of birth","    Poland",,  146465,,   66450,,   80020,,   96000,,   43155,,   52845,
"Immigrants by selected place of birth","    Portugal",,  139450,,   68150,,   71300,,  103025,,   50240,,   52785,
"Immigrants by selected place of birth","    Romania",,   90305,,   42795,,   47510,,   42720,,   19720,,   23000,
"Immigrants by selected place of birth","    Russian Federation",,   78685,,   34265,,   44420,,   42980,,   18540,,   24440,
"Immigrants by selected place of birth","    Serbia",57,   33320,,   16325,,   17000,,   23695,,   11610,,   12085,
"Immigrants by selected place of birth","    Ukraine",,   73030,,   33360,,   39665,,   39945,,   18150,,   21795,
"Immigrants by selected place of birth","    United Kingdom",58,  499115,,  243225,,  255890,,  264125,,  125730,,  138390,
"Immigrants by selected place of birth","    Other places of birth in Europe",,  247470,,  119945,,  127530,,  127190,,   60395,,   66790,
"Immigrants by selected place of birth","  Africa",,  637485,,  322510,,  314970,,  226770,,  109585,,  117185,
"Immigrants by selected place of birth","    Algeria",,   64620,,   33920,,   30705,,    2925,,    1480,,    1450,
"Immigrants by selected place of birth","    Egypt",,   64615,,   34125,,   30495,,   34510,,   18000,,   16510,
"Immigrants by selected place of birth","    Ethiopia",,   32790,,   15980,,   16810,,   15570,,    7230,,    8340,
"Immigrants by selected place of birth","    Kenya",,   27150,,   12810,,   14340,,   14940,,    6910,,    8025,
"Immigrants by selected place of birth","    Morocco",,   69655,,   36120,,   33535,,    5485,,    2690,,    2795,
"Immigrants by selected place of birth","    Nigeria",,   42430,,   21830,,   20600,,   20630,,   10285,,   10345,
"Immigrants by selected place of birth","    Somalia",,   27230,,   12070,,   15160,,   16970,,    6845,,   10125,
"Immigrants by selected place of birth","    South Africa; Republic of",,   44660,,   22205,,   22460,,   19390,,    9545,,    9840,
"Immigrants by selected place of birth","    Other places of birth in Africa",,  264320,,  133450,,  130870,,   96355,,   46610,,   49745,
"Immigrants by selected place of birth","  Asia",, 3629160,, 1709985,, 1919175,, 1869805,,  886570,,  983240,
"Immigrants by selected place of birth","    Afghanistan",,   51955,,   26030,,   25930,,   33145,,   16490,,   16655,
"Immigrants by selected place of birth","    Bangladesh",,   58735,,   29875,,   28865,,   39410,,   19970,,   19440,
"Immigrants by selected place of birth","    China",59,  649260,,  290800,,  358460,,  317225,,  143705,,  173515,
"Immigrants by selected place of birth","    Hong Kong",60,  208940,,   98020,,  110915,,  108030,,   50945,,   57090,
"Immigrants by selected place of birth","    India",,  668565,,  334030,,  334540,,  360540,,  179950,,  180590,
"Immigrants by selected place of birth","    Iran",61,  154425,,   77970,,   76455,,   86810,,   43445,,   43360,
"Immigrants by selected place of birth","    Iraq",,   68485,,   34785,,   33705,,   50390,,   25280,,   25115,
"Immigrants by selected place of birth","    Japan",,   27240,,    7955,,   19285,,    8145,,    2550,,    5585,
"Immigrants by selected place of birth","    Korea; South",62,  123305,,   57170,,   66140,,   57085,,   26660,,   30425,
"Immigrants by selected place of birth","    Lebanon",,   88745,,   47295,,   41450,,   34545,,   18145,,   16405,
"Immigrants by selected place of birth","    Pakistan",,  202260,,  103225,,   99035,,  142265,,   71925,,   70345,
"Immigrants by selected place of birth","    Philippines",,  588305,,  247095,,  341210,,  231760,,   93730,,  138030,
"Immigrants by selected place of birth","    Sri Lanka",,  131995,,   64825,,   67170,,  109855,,   53640,,   56215,
"Immigrants by selected place of birth","    Syria",63,   52960,,   26595,,   26365,,   22680,,   11405,,   11270,
"Immigrants by selected place of birth","    Taiwan",,   63770,,   28170,,   35605,,   17840,,    7775,,   10065,
"Immigrants by selected place of birth","    Viet Nam",,  169250,,   78000,,   91250,,   80525,,   36545,,   43985,
"Immigrants by selected place of birth","    Other places of birth in Asia",,  320965,,  158150,,  162815,,  169555,,   84400,,   85160,
"Immigrants by selected place of birth","  Oceania and other places of birth",64,   57030,,   28210,,   28825,,   12330,,    6330,,    5990,
"Recent immigrants by selected places of birth","Total - Selected places of birth for the recent immigrant population in private households - 25% sample data",54, 1212075,,  582180,,  629895,,  472170,,  223720,,  248450,
"Recent immigrants by selected places of birth","  Americas",,  152595,,   72870,,   79720,,   60700,,   29005,,   31700,
"Recent immigrants by selected places of birth","    Brazil",,    8500,,    4000,,    4490,,    3180,,    1505,,    1675,
"Recent immigrants by selected places of birth","    Colombia",,   15300,,    6885,,    8415,,    4520,,    2005,,    2520,
"Recent immigrants by selected places of birth","    Cuba",,    5370,,    2545,,    2820,,    1950,,     910,,    1045,
"Recent immigrants by selected places of birth","    Haiti",,   19985,,    9160,,   10830,,    2575,,    1140,,    1435,
"Recent immigrants by selected places of birth","    Jamaica",,   12495,,    6680,,    5820,,    8935,,    4840,,    4090,
"Recent immigrants by selected places of birth","    Mexico",,   18660,,    9090,,    9575,,    5670,,    2745,,    2925,
"Recent immigrants by selected places of birth","    United States",55,   33060,,   16480,,   16580,,   14635,,    7225,,    7405,
"Recent immigrants by selected places of birth","    Venezuela",65,    6425,,    2990,,    3435,,    2460,,    1120,,    1340,
"Recent immigrants by selected places of birth","    Other places of birth in Americas",,   32790,,   15040,,   17750,,   16775,,    7510,,    9265,
"Recent immigrants by selected places of birth","  Europe",,  140030,,   70995,,   69035,,   45295,,   22250,,   23045,
"Recent immigrants by selected places of birth","    France",,   24150,,   13000,,   11150,,    2010,,    1025,,     985,
"Recent immigrants by selected places of birth","    Germany",,    6300,,    3255,,    3045,,    1695,,     885,,     805,
"Recent immigrants by selected places of birth","    Ireland",56,    5660,,    3540,,    2120,,    1900,,    1185,,     715,
"Recent immigrants by selected places of birth","    Moldova",66,    5900,,    2735,,    3165,,     880,,     400,,     480,
"Recent immigrants by selected places of birth","    Romania",,    7610,,    3330,,    4280,,    2425,,     995,,    1430,
"Recent immigrants by selected places of birth","    Russian Federation",,   11565,,    4485,,    7080,,    4905,,    1790,,    3115,
"Recent immigrants by selected places of birth","    Ukraine",,   13425,,    6015,,    7410,,    4455,,    2005,,    2445,
"Recent immigrants by selected places of birth","    United Kingdom",58,   24445,,   14235,,   10215,,    7780,,    4515,,    3265,
"Recent immigrants by selected places of birth","    Other places of birth in Europe",,   40970,,   20405,,   20570,,   19245,,    9450,,    9795,
"Recent immigrants by selected places of birth","  Africa",,  162800,,   81545,,   81245,,   39380,,   19045,,   20330,
"Recent immigrants by selected places of birth","    Algeria",,   17175,,    8440,,    8735,,     415,,     180,,     240,
"Recent immigrants by selected places of birth","    Cameroon",,   10265,,    5005,,    5255,,    1390,,     640,,     750,
"Recent immigrants by selected places of birth","    Congo; Democratic Republic of the",,    7400,,    3570,,    3835,,    1835,,     845,,     990,
"Recent immigrants by selected places of birth","    C�te d'Ivoire",,    6240,,    3030,,    3210,,     605,,     245,,     360,
"Recent immigrants by selected places of birth","    Egypt",,   16115,,    8445,,    7665,,    8220,,    4290,,    3935,
"Recent immigrants by selected places of birth","    Eritrea",,    6050,,    3195,,    2855,,    2055,,    1010,,    1045,
"Recent immigrants by selected places of birth","    Ethiopia",,    7510,,    3625,,    3890,,    2505,,    1115,,    1385,
"Recent immigrants by selected places of birth","    Morocco",,   15105,,    7470,,    7635,,     655,,     275,,     375,
"Recent immigrants by selected places of birth","    Nigeria",,   17285,,    8850,,    8435,,    5910,,    2895,,    3015,
"Recent immigrants by selected places of birth","    Somalia",,    5335,,    2600,,    2730,,    2065,,     965,,    1100,
"Recent immigrants by selected places of birth","    South Africa; Republic of",,    5765,,    2935,,    2830,,    1410,,     715,,     695,
"Recent immigrants by selected places of birth","    Tunisia",,    6700,,    3475,,    3230,,     310,,     155,,     150,
"Recent immigrants by selected places of birth","    Other places of birth in Africa",,   41855,,   20905,,   20950,,   12010,,    5715,,    6295,
"Recent immigrants by selected places of birth","  Asia",,  748700,,  352095,,  396610,,  324820,,  152205,,  172615,
"Recent immigrants by selected places of birth","    Afghanistan",,    9240,,    4530,,    4710,,    5785,,    2845,,    2945,
"Recent immigrants by selected places of birth","    Bangladesh",,   12900,,    6445,,    6460,,    8180,,    4055,,    4125,
"Recent immigrants by selected places of birth","    China",59,  129020,,   57745,,   71270,,   58840,,   26025,,   32815,
"Recent immigrants by selected places of birth","    Hong Kong",60,    4975,,    2090,,    2880,,    1985,,     800,,    1190,
"Recent immigrants by selected places of birth","    India",,  147190,,   75145,,   72045,,   69325,,   35060,,   34265,
"Recent immigrants by selected places of birth","    Iran",61,   42070,,   20580,,   21490,,   21225,,   10300,,   10930,
"Recent immigrants by selected places of birth","    Iraq",,   20665,,   10345,,   10320,,   14645,,    7315,,    7330,
"Recent immigrants by selected places of birth","    Israel",,    4740,,    2615,,    2130,,    2050,,    1085,,     970,
"Recent immigrants by selected places of birth","    Japan",,    4905,,    1250,,    3655,,    1385,,     370,,    1015,
"Recent immigrants by selected places of birth","    Korea; South",62,   21710,,    9630,,   12075,,    6320,,    2855,,    3470,
"Recent immigrants by selected places of birth","    Lebanon",,    9375,,    4980,,    4400,,    3230,,    1685,,    1545,
"Recent immigrants by selected places of birth","    Nepal",,    7505,,    3780,,    3715,,    3395,,    1725,,    1665,
"Recent immigrants by selected places of birth","    Pakistan",,   41480,,   20530,,   20945,,   25435,,   12425,,   13015,
"Recent immigrants by selected places of birth","    Philippines",,  188810,,   83050,,  105760,,   53190,,   21740,,   31450,
"Recent immigrants by selected places of birth","    Saudi Arabia",,    5465,,    2820,,    2640,,    3140,,    1615,,    1530,
"Recent immigrants by selected places of birth","    Sri Lanka",,   11495,,    5190,,    6305,,    8185,,    3580,,    4605,
"Recent immigrants by selected places of birth","    Syria",63,   29945,,   15245,,   14700,,   12710,,    6590,,    6120,
"Recent immigrants by selected places of birth","    Taiwan",,    4310,,    1685,,    2625,,    1015,,     435,,     580,
"Recent immigrants by selected places of birth","    Turkey",,    4255,,    2365,,    1890,,    2590,,    1440,,    1145,
"Recent immigrants by selected places of birth","    United Arab Emirates",,    6135,,    3220,,    2910,,    4290,,    2230,,    2055,
"Recent immigrants by selected places of birth","    Viet Nam",,   11210,,    4500,,    6705,,    3885,,    1520,,    2365,
"Recent immigrants by selected places of birth","    Other places of birth in Asia",,   31320,,   14345,,   16970,,   13995,,    6505,,    7485,
"Recent immigrants by selected places of birth","  Oceania and other",64,    7955,,    4670,,    3280,,    1980,,    1215,,     765,
"Recent immigrants by selected places of birth","    Australia",,    4965,,    2950,,    2010,,    1535,,     965,,     565,
"Recent immigrants by selected places of birth","    Other places of birth",67,    2990,,    1720,,    1270,,     445,,     250,,     200,
"Generation status","Total - Generation status for the population in private households - 25% sample data",68,34460060,,16971575,,17488485,,13242160,, 6472240,, 6769920,
"Generation status","  First generation",69, 8219555,, 3936045,, 4283505,, 4122840,, 1953095,, 2169740,
"Generation status","  Second generation",70, 6100725,, 3053075,, 3047650,, 3049835,, 1525300,, 1524540,
"Generation status","  Third generation or more",71,20139790,, 9982460,,10157330,, 6069485,, 2993845,, 3075640,
"Admission category and applicant type","Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data",72, 5703615,, 2709530,, 2994085,, 2825480,, 1331730,, 1493750,
"Admission category and applicant type","  Economic immigrants",73, 2994130,, 1496240,, 1497885,, 1364380,,  677695,,  686685,
"Admission category and applicant type","    Principal applicants",74, 1220755,,  755370,,  465380,,  540795,,  338460,,  202335,
"Admission category and applicant type","    Secondary applicants",75, 1773380,,  740870,, 1032510,,  823580,,  339240,,  484350,
"Admission category and applicant type","  Immigrants sponsored by family",76, 1782490,,  728085,, 1054400,,  940405,,  382890,,  557520,
"Admission category and applicant type","  Refugees",77,  858845,,  453675,,  405175,,  482665,,  253750,,  228910,
"Admission category and applicant type","  Other immigrants",78,   68145,,   31530,,   36615,,   38035,,   17400,,   20640,
"Aboriginal population","Total - Aboriginal identity for the population in private households - 25% sample data",79,34460065,,16971575,,17488485,,13242160,, 6472240,, 6769920,
"Aboriginal population","  Aboriginal identity",80, 1673785,,  813520,,  860265,,  374395,,  179970,,  194420,
"Aboriginal population","    Single Aboriginal responses",81, 1629805,,  792970,,  836835,,  361125,,  173685,,  187445,
"Aboriginal population","      First Nations (North American Indian)",82,  977235,,  471510,,  505725,,  236680,,  112840,,  123845,
"Aboriginal population","      M�tis",,  587545,,  289435,,  298115,,  120585,,   59015,,   61570,
"Aboriginal population","      Inuk (Inuit)",,   65030,,   32030,,   32995,,    3860,,    1835,,    2030,
"Aboriginal population","    Multiple Aboriginal responses",83,   21310,,   10165,,   11145,,    5730,,    2680,,    3045,
"Aboriginal population","    Aboriginal responses not included elsewhere",84,   22670,,   10385,,   12290,,    7540,,    3615,,    3930,
"Aboriginal population","  Non-Aboriginal identity",,32786280,,16158060,,16628225,,12867765,, 6292265,, 6575500,
"Aboriginal population","Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data",85,34460065,,16971580,,17488490,,13242160,, 6472240,, 6769925,
"Aboriginal population","  Registered or Treaty Indian",86,  820120,,  395670,,  424445,,  170895,,   81560,,   89335,
"Aboriginal population","  Not a Registered or Treaty Indian",,33639945,,16575905,,17064040,,13071265,, 6390680,, 6680585,
"Aboriginal population","Total - Aboriginal ancestry for the population in private households - 25% sample data",87,34460065,,16971575,,17488490,,13242160,, 6472240,, 6769920,
"Aboriginal population","  Aboriginal ancestry (only)",88,  727790,,  356970,,  370815,,  112875,,   54840,,   58035,
"Aboriginal population","    Single Aboriginal ancestry (only)",89,  709235,,  347985,,  361245,,  111575,,   54180,,   57395,
"Aboriginal population","      First Nations (North American Indian) single ancestry",82,  573215,,  280040,,  293180,,   97430,,   47130,,   50305,
"Aboriginal population","      M�tis single ancestry",,   91255,,   45740,,   45515,,   12925,,    6490,,    6435,
"Aboriginal population","      Inuit single ancestry",,   44765,,   22210,,   22555,,    1220,,     565,,     655,
"Aboriginal population","    Multiple Aboriginal ancestries (only)",90,   18555,,    8985,,    9565,,    1295,,     665,,     640,
"Aboriginal population","      First Nations (North American Indian) and M�tis ancestries",,   15140,,    7305,,    7835,,    1055,,     545,,     510,
"Aboriginal population","      First Nations (North American Indian) and Inuit ancestries",,    2470,,    1205,,    1265,,     145,,      70,,      75,
"Aboriginal population","      M�tis and Inuit ancestries",,     770,,     390,,     380,,      65,,      25,,      40,
"Aboriginal population","      First Nations (North American Indian); M�tis and Inuit ancestries",,     170,,      85,,      85,,      30,,      20,,      10,
"Aboriginal population","  Aboriginal and non-Aboriginal ancestries",91, 1402735,,  669710,,  733025,,  405425,,  192320,,  213100,
"Aboriginal population","    Single Aboriginal and non-Aboriginal ancestries",92, 1347610,,  644210,,  703400,,  395205,,  187695,,  207510,
"Aboriginal population","      First Nations (North American Indian) and non-Aboriginal ancestries",,  881455,,  418215,,  463235,,  276920,,  130810,,  146110,
"Aboriginal population","      M�tis and non-Aboriginal ancestries",,  441000,,  213940,,  227065,,  113785,,   54830,,   58955,
"Aboriginal population","      Inuit and non-Aboriginal ancestries",,   25155,,   12045,,   13105,,    4500,,    2050,,    2450,
"Aboriginal population","    Multiple Aboriginal and non-Aboriginal ancestries",93,   55125,,   25505,,   29625,,   10215,,    4620,,    5590,
"Aboriginal population","      First Nations (North American Indian); M�tis and non-Aboriginal ancestries",,   49325,,   22740,,   26585,,    9305,,    4205,,    5100,
"Aboriginal population","      First Nations (North American Indian); Inuit and non-Aboriginal ancestries",,    3470,,    1655,,    1815,,     595,,     290,,     305,
"Aboriginal population","      M�tis; Inuit and non-Aboriginal ancestries",,    2005,,     940,,    1065,,     300,,     125,,     170,
"Aboriginal population","      First Nations (North American Indian); M�tis; Inuit and non-Aboriginal ancestries",,     325,,     170,,     160,,      15,,       0,,      10,
"Aboriginal population","  Non-Aboriginal ancestry (only)",94,32329545,,15944900,,16384645,,12723865,, 6225080,, 6498785,
"Visible minority population","Total - Visible minority for the population in private households - 25% sample data",95,34460065,,16971575,,17488485,,13242160,, 6472240,, 6769920,
"Visible minority population","  Total visible minority population",96, 7674580,, 3725090,, 3949495,, 3885585,, 1878075,, 2007505,
"Visible minority population","    South Asian",97, 1924635,,  977690,,  946945,, 1150415,,  582010,,  568400,
"Visible minority population","    Chinese",, 1577060,,  746400,,  830665,,  754550,,  359230,,  395315,
"Visible minority population","    Black",, 1198540,,  580070,,  618475,,  627715,,  296270,,  331445,
"Visible minority population","    Filipino",,  780125,,  341800,,  438330,,  311675,,  132440,,  179230,
"Visible minority population","    Latin American",,  447325,,  215460,,  231860,,  195950,,   93645,,  102310,
"Visible minority population","    Arab",,  523235,,  276425,,  246810,,  210435,,  109585,,  100850,
"Visible minority population","    Southeast Asian",98,  313260,,  148880,,  164385,,  133855,,   63255,,   70605,
"Visible minority population","    West Asian",99,  264305,,  133475,,  130825,,  154670,,   77385,,   77280,
"Visible minority population","    Korean",,  188710,,   89110,,   99600,,   88935,,   42445,,   46495,
"Visible minority population","    Japanese",,   92920,,   40105,,   52815,,   30830,,   13595,,   17235,
"Visible minority population","    Visible minority; n.i.e.",100,  132090,,   62540,,   69550,,   97970,,   46105,,   51860,
"Visible minority population","    Multiple visible minorities",101,  232375,,  113140,,  119230,,  128585,,   62105,,   66485,
"Visible minority population","  Not a visible minority",102,26785480,,13246485,,13539000,, 9356575,, 4594165,, 4762410,
"Ethnic origin population","Total - Ethnic origin for the population in private households - 25% sample data",103,34460065,,16971575,,17488485,,13242160,, 6472240,, 6769920,
"Ethnic origin population","  North American Aboriginal origins",, 2130520,, 1026675,, 1103840,,  518300,,  247160,,  271135,
"Ethnic origin population","    First Nations (North American Indian)",, 1525570,,  731410,,  794155,,  385505,,  183075,,  202430,
"Ethnic origin population","    Inuit",,   79130,,   38695,,   40435,,    6870,,    3150,,    3720,
"Ethnic origin population","    M�tis",,  599995,,  291310,,  308690,,  137485,,   66245,,   71235,
"Ethnic origin population","  Other North American origins",,11628535,, 5745695,, 5882835,, 3220595,, 1585255,, 1635340,
"Ethnic origin population","    Acadian",,  119675,,   57805,,   61865,,   16580,,    8135,,    8450,
"Ethnic origin population","    American",,  377405,,  182690,,  194715,,  140165,,   67480,,   72690,
"Ethnic origin population","    Canadian",,11135965,, 5501595,, 5634370,, 3109770,, 1531645,, 1578125,
"Ethnic origin population","    New Brunswicker",,    1490,,     800,,     685,,     320,,     190,,     125,
"Ethnic origin population","    Newfoundlander",,   22215,,   11420,,   10800,,   10850,,    5520,,    5325,
"Ethnic origin population","    Nova Scotian",,    3700,,    1770,,    1930,,    1485,,     685,,     800,
"Ethnic origin population","    Ontarian",,    3925,,    1980,,    1945,,    2165,,    1085,,    1075,
"Ethnic origin population","    Qu�b�cois",,  194560,,   99320,,   95235,,    5390,,    2730,,    2665,
"Ethnic origin population","    Other North American origins; n.i.e.",104,    1895,,     950,,     945,,     675,,     375,,     300,
"Ethnic origin population","  European origins",,19683320,, 9687715,, 9995605,, 8151470,, 3978900,, 4172570,
"Ethnic origin population","    British Isles origins",,11211850,, 5474735,, 5737115,, 4900430,, 2380595,, 2519835,
"Ethnic origin population","      Channel Islander",,    3595,,    1740,,    1855,,    1120,,     530,,     590,
"Ethnic origin population","      Cornish",,    1975,,     995,,     975,,     755,,     370,,     385,
"Ethnic origin population","      English",, 6320085,, 3069515,, 3250570,, 2808805,, 1357650,, 1451160,
"Ethnic origin population","      Irish",, 4627000,, 2195620,, 2431385,, 2095460,,  991625,, 1103835,
"Ethnic origin population","      Manx",,    6125,,    3090,,    3040,,    2450,,    1320,,    1130,
"Ethnic origin population","      Scottish",, 4799005,, 2323390,, 2475620,, 2107295,, 1016260,, 1091030,
"Ethnic origin population","      Welsh",,  474805,,  226600,,  248210,,  198475,,   94555,,  103920,
"Ethnic origin population","      British Isles origins; n.i.e.",105,  644695,,  307090,,  337610,,  323185,,  152525,,  170660,
"Ethnic origin population","    French origins",, 4680820,, 2283480,, 2397340,, 1350520,,  643360,,  707160,
"Ethnic origin population","      Alsatian",,    2800,,    1300,,    1495,,    1235,,     495,,     740,
"Ethnic origin population","      Breton",,   11845,,    5765,,    6080,,     290,,     175,,     120,
"Ethnic origin population","      Corsican",,    1750,,     950,,     805,,     205,,     125,,      85,
"Ethnic origin population","      French",, 4670595,, 2278430,, 2392165,, 1349255,,  642790,,  706470,
"Ethnic origin population","    Western European origins (except French origins)",, 4600855,, 2258095,, 2342760,, 1766975,,  864010,,  902970,
"Ethnic origin population","      Austrian",,  207050,,  100775,,  106275,,   72475,,   35415,,   37065,
"Ethnic origin population","      Bavarian",,     940,,     485,,     455,,     450,,     225,,     230,
"Ethnic origin population","      Belgian",,  186665,,   91395,,   95270,,   57890,,   28460,,   29430,
"Ethnic origin population","      Dutch",, 1111655,,  546565,,  565090,,  527750,,  259585,,  268165,
